23-3684453,31/07/2020,Re-contextualized,1
33-1044223,23/10/2020,regional,2
69-8601141,03/10/2020,Managed,2
76-6578908,08/05/2020,24/7,1
63-3436201,02/06/2020,cohesive,2
75-2002598,12/12/2020,pricing structure,2
07-1599442,05/07/2020,Synergized,1
01-5183721,12/05/2020,success,1
55-4088978,14/08/2020,even-keeled,1
78-0394058,07/12/2020,complexity,2
95-4174497,01/06/2020,encoding,2
81-3259289,28/08/2020,Cloned,2
24-7970162,03/10/2020,implementation,2
83-5845283,22/11/2020,solution-oriented,1
25-0141200,21/11/2020,instruction set,2
61-2743339,06/03/2021,Business-focused,1
33-8462513,16/05/2020,Devolved,2
51-3980828,21/04/2020,Visionary,2
14-7715487,24/12/2020,Optional,2
96-0338423,03/09/2020,executive,1
19-6044634,03/04/2021,help-desk,2
86-6810995,24/12/2020,framework,1
44-2904264,15/07/2020,foreground,1
14-0595018,13/07/2020,fresh-thinking,1
55-0768390,23/10/2020,project,1
15-7055264,08/10/2020,paradigm,1
87-8461563,03/06/2020,definition,2
40-1344849,16/11/2020,bifurcated,1
85-0715463,12/03/2021,actuating,1
87-9936414,04/06/2020,scalable,2
27-3542701,01/02/2021,Reverse-engineered,2
08-4232881,13/08/2020,hierarchy,2
45-6078611,11/02/2021,array,2
35-8661725,22/02/2021,attitude-oriented,2
97-6213541,03/06/2020,empowering,2
83-3415712,06/11/2020,toolset,2
88-2666793,17/09/2020,multi-state,1
66-5340934,23/09/2020,hardware,1
61-0429371,08/05/2020,secondary,1
61-6329105,25/10/2020,Graphic Interface,2
92-8533785,20/02/2021,benchmark,1
84-7646858,06/01/2021,solution,2
18-0548854,03/02/2021,reciprocal,1
83-6707845,08/01/2021,structure,1
19-5491151,13/11/2020,middleware,2
81-7201496,03/10/2020,clear-thinking,2
57-9858006,06/03/2021,Multi-channelled,1
61-4508061,13/06/2020,multimedia,2
03-7584767,14/01/2021,utilisation,1
89-7303160,14/05/2020,real-time,2
56-8369241,13/01/2021,Open-source,1
40-7304330,29/10/2020,didactic,2
67-7577479,04/12/2020,foreground,2
93-8170294,24/12/2020,impactful,2
04-0135252,06/06/2020,needs-based,2
46-9815100,30/04/2020,tangible,2
05-7934827,07/08/2020,Customizable,2
37-1647312,30/08/2020,strategy,2
05-7734857,26/09/2020,bandwidth-monitored,1
37-7350737,22/12/2020,orchestration,2
35-8228328,12/12/2020,portal,2
03-0916305,30/03/2021,holistic,2
88-3421250,06/11/2020,policy,2
05-0768513,28/05/2020,optimizing,1
97-9406089,17/05/2020,moderator,2
75-3188816,30/08/2020,product,2
25-8671281,16/07/2020,Future-proofed,1
37-8350059,15/01/2021,secured line,2
29-5346230,19/08/2020,project,2
84-0383003,30/03/2021,approach,2
18-5473810,16/07/2020,Diverse,1
46-8939614,15/03/2021,superstructure,1
13-1928005,07/11/2020,Advanced,1
75-8749885,29/05/2020,Adaptive,2
29-1135441,18/06/2020,incremental,2
71-1955095,03/01/2021,Seamless,1
75-6342874,27/11/2020,installation,1
50-8637319,21/03/2021,Open-architected,2
40-9958805,02/07/2020,leverage,2
96-5374295,27/04/2020,extranet,2
45-0072629,03/01/2021,bifurcated,1
36-4858694,25/08/2020,full-range,2
76-9420659,04/03/2021,infrastructure,1
73-1775065,16/04/2020,encompassing,2
20-3334979,08/06/2020,protocol,2
25-4863938,27/09/2020,instruction set,2
20-4783096,17/05/2020,explicit,1
69-3732331,22/01/2021,system engine,2
04-4072251,28/02/2021,support,2
17-6661023,09/02/2021,Operative,1
47-8504461,29/04/2020,content-based,2
33-1123610,17/09/2020,system engine,2
25-2004108,16/09/2020,migration,1
15-3787452,02/09/2020,Right-sized,2
02-5836856,12/05/2020,Cross-group,2
20-2958432,08/10/2020,Distributed,1
55-9817296,01/07/2020,local,1
61-7105311,27/04/2020,asynchronous,2
70-2787830,11/12/2020,multi-state,1
24-1134570,26/01/2021,Configurable,1
24-5950595,25/12/2020,pricing structure,2
27-1407437,18/08/2020,Assimilated,2
88-6419095,13/01/2021,6th generation,2
21-7602099,24/10/2020,3rd generation,1
82-6460206,04/01/2021,adapter,2
95-7912188,22/12/2020,strategy,2
18-2410527,26/04/2020,superstructure,1
24-3232816,20/02/2021,standardization,2
53-3337204,18/04/2020,Adaptive,1
90-5688616,25/07/2020,regional,2
47-4758979,06/05/2020,Adaptive,1
84-1227282,02/12/2020,Graphic Interface,1
39-4656321,28/12/2020,firmware,1
45-1233190,21/05/2020,productivity,1
94-6092331,24/06/2020,emulation,1
36-9858978,12/01/2021,collaboration,2
60-1818894,11/02/2021,capacity,1
42-9367745,18/06/2020,framework,2
54-0213277,18/03/2021,methodology,1
37-1899912,21/09/2020,non-volatile,1
79-1757462,09/04/2021,archive,1
90-8434885,01/01/2021,static,2
14-7038366,22/02/2021,algorithm,2
66-3989446,14/09/2020,capacity,1
48-1123960,03/12/2020,service-desk,1
51-7587816,03/03/2021,Decentralized,2
64-3963737,04/11/2020,approach,1
53-7866469,01/03/2021,policy,1
20-2887883,15/04/2020,impactful,1
09-1702161,29/12/2020,Profound,1
71-0670099,06/04/2021,Balanced,1
92-0162013,17/11/2020,web-enabled,1
77-1133483,08/07/2020,framework,2
66-9804144,15/12/2020,user-facing,1
80-3499520,17/09/2020,incremental,1
94-6954311,03/06/2020,Visionary,2
78-9395618,03/03/2021,interactive,1
51-5235183,11/12/2020,moderator,1
36-9872015,08/09/2020,interface,1
91-5004560,22/12/2020,Business-focused,1
08-1731817,28/09/2020,global,1
39-1425420,03/12/2020,client-driven,2
67-0375060,16/06/2020,object-oriented,1
67-3278639,08/12/2020,capacity,1
63-2345414,24/07/2020,emulation,1
40-1272013,13/04/2021,dedicated,2
42-5904832,25/07/2020,Synergistic,2
07-4516470,22/03/2021,core,1
66-8314903,08/01/2021,Quality-focused,1
57-4891830,22/03/2021,impactful,2
20-0425599,05/12/2020,encompassing,1
05-4601821,22/07/2020,migration,2
00-9543625,18/09/2020,productivity,1
72-3262004,12/11/2020,Triple-buffered,1
78-7047804,14/04/2020,concept,1
43-5113652,29/03/2021,focus group,1
28-9108803,24/04/2020,implementation,2
12-7326986,24/09/2020,Persistent,2
34-5395140,14/10/2020,coherent,1
97-8476443,11/05/2020,bifurcated,1
71-7485441,18/01/2021,Progressive,1
35-3872828,01/08/2020,circuit,1
88-5575953,23/07/2020,holistic,2
48-6156185,24/03/2021,bifurcated,1
02-4402094,02/08/2020,real-time,2
78-6431144,10/08/2020,impactful,2
97-9311861,23/06/2020,Adaptive,2
33-9086358,08/07/2020,Automated,1
82-8849315,17/05/2020,4th generation,2
78-3403622,28/12/2020,Synergized,1
04-7746447,05/03/2021,object-oriented,2
92-5080917,08/12/2020,client-driven,2
69-6067420,30/12/2020,application,1
20-8107186,17/11/2020,model,1
65-2171284,03/06/2020,forecast,2
99-8349825,13/06/2020,budgetary management,2
55-9903686,07/09/2020,Robust,2
35-6855865,27/12/2020,didactic,1
48-4718436,27/10/2020,Ergonomic,2
72-1405307,16/08/2020,protocol,1
54-4227937,09/11/2020,intangible,1
62-8576591,04/07/2020,internet solution,2
02-1099353,23/04/2020,solution,2
44-5961498,20/12/2020,product,1
05-9271364,09/11/2020,exuding,2
12-0625440,24/09/2020,Realigned,2
04-2586576,30/04/2020,grid-enabled,1
98-7397717,20/06/2020,bifurcated,1
95-9463433,01/10/2020,circuit,2
36-6991434,23/07/2020,conglomeration,2
78-2987611,25/05/2020,neutral,2
31-3586312,26/09/2020,instruction set,1
11-5355320,02/09/2020,Polarised,1
76-4061257,07/12/2020,Distributed,2
48-2270927,15/11/2020,groupware,1
22-2876393,26/05/2020,Function-based,1
49-1532754,01/10/2020,Synergistic,2
14-2557138,19/04/2020,cohesive,1
77-6411572,07/05/2020,Re-contextualized,1
63-5555579,08/05/2020,Multi-layered,1
17-3250498,24/09/2020,infrastructure,2
62-0512546,13/02/2021,Persevering,1
93-2237980,13/06/2020,budgetary management,1
74-5477510,20/01/2021,national,1
69-0937303,17/04/2020,Seamless,1
67-2475359,26/09/2020,neural-net,1
62-3183070,13/04/2021,protocol,1
42-1624467,08/08/2020,empowering,2
52-3770272,31/12/2020,secured line,1
96-8212795,08/04/2021,clear-thinking,1
42-3630534,03/10/2020,synergy,2
72-8816709,08/12/2020,analyzer,2
06-7895047,27/01/2021,contingency,2
61-4922819,18/10/2020,intermediate,2
76-7656877,04/10/2020,User-centric,2
20-1400593,29/03/2021,productivity,2
11-2198575,27/07/2020,Reduced,1
67-1302335,29/07/2020,circuit,1
21-0595934,12/11/2020,demand-driven,1
41-8082693,15/03/2021,model,2
89-3536129,20/04/2020,neural-net,2
14-6180122,08/06/2020,3rd generation,1
83-1834249,22/03/2021,Multi-tiered,1
35-9280588,13/08/2020,full-range,2
72-7006877,23/03/2021,neural-net,1
93-9648607,22/10/2020,heuristic,2
28-0724478,07/07/2020,Realigned,1
01-9026235,28/03/2021,portal,1
80-2789011,03/01/2021,Ergonomic,2
26-9054104,25/09/2020,De-engineered,1
94-6014427,06/09/2020,application,1
70-0083758,11/05/2020,Progressive,1
98-4506834,20/09/2020,Public-key,1
81-7376076,15/10/2020,foreground,1
69-8166809,11/07/2020,heuristic,1
40-1658506,03/04/2021,groupware,2
59-5081524,28/11/2020,Reverse-engineered,1
38-4759544,30/10/2020,Advanced,2
07-7559514,27/04/2020,open architecture,1
73-9407436,24/11/2020,hardware,2
90-9634974,21/09/2020,initiative,2
42-0823724,27/10/2020,Universal,1
87-4159675,01/02/2021,mission-critical,1
40-9661037,26/11/2020,Reactive,2
17-9377130,06/08/2020,strategy,1
00-5912424,17/10/2020,fault-tolerant,2
79-7570011,05/01/2021,User-centric,2
78-4042539,10/09/2020,internet solution,1
92-9758625,03/07/2020,pricing structure,2
14-8002317,04/10/2020,Multi-tiered,2
22-2154189,16/12/2020,Open-source,1
78-5144912,08/08/2020,explicit,2
50-6331244,21/08/2020,fresh-thinking,1
59-2937242,16/03/2021,hardware,1
18-4986859,11/09/2020,methodical,2
54-7079526,23/07/2020,De-engineered,2
80-8888464,03/05/2020,Enterprise-wide,2
68-8317539,19/03/2021,Enhanced,1
91-0257667,21/10/2020,alliance,2
84-9599767,09/11/2020,optimizing,1
40-9877948,29/11/2020,Enterprise-wide,1
17-9527547,25/01/2021,scalable,2
77-1359524,14/06/2020,attitude,2
58-4482395,20/01/2021,Cross-group,1
18-8816781,26/10/2020,Adaptive,2
80-5120942,21/10/2020,Compatible,1
80-9689375,07/08/2020,Front-line,2
66-5290215,19/01/2021,Enhanced,2
92-7113527,10/04/2021,implementation,1
97-7226326,17/04/2020,framework,2
66-4162656,18/07/2020,array,1
63-0602106,28/09/2020,hybrid,2
44-8956910,07/05/2020,upward-trending,1
13-1958936,01/12/2020,Innovative,1
33-9404740,19/12/2020,multimedia,1
77-8157710,16/07/2020,bandwidth-monitored,1
42-7218934,28/09/2020,projection,1
07-6908984,06/03/2021,Intuitive,1
02-7809769,03/03/2021,Face to face,2
59-9592487,06/05/2020,fresh-thinking,2
40-0944559,12/06/2020,Optimized,2
10-7919730,30/10/2020,definition,2
85-9609119,21/10/2020,flexibility,2
71-1280054,25/01/2021,customer loyalty,1
11-0202424,02/06/2020,throughput,1
44-4928322,30/05/2020,help-desk,1
38-2628743,25/05/2020,holistic,2
40-6496659,06/12/2020,mission-critical,1
70-3422679,24/04/2020,Managed,1
31-5695711,29/08/2020,Streamlined,2
29-2962588,16/06/2020,foreground,2
77-5633806,27/02/2021,web-enabled,2
75-5653452,26/04/2020,hybrid,1
23-9132087,28/07/2020,motivating,2
46-8344514,17/05/2020,strategy,1
86-7483810,03/09/2020,encompassing,1
74-4216863,06/03/2021,Cross-platform,1
27-9336193,09/09/2020,Devolved,2
98-9560134,02/08/2020,concept,1
17-0030520,04/08/2020,Progressive,2
32-8398828,02/03/2021,asymmetric,2
16-1057136,02/12/2020,Secured,1
32-4974377,16/10/2020,Assimilated,1
00-1940307,01/01/2021,value-added,2
91-5837715,18/02/2021,impactful,1
58-5369976,11/03/2021,analyzing,1
47-8687016,30/06/2020,multimedia,2
72-3979673,21/08/2020,Decentralized,1
65-7915923,01/06/2020,bi-directional,1
87-4815161,06/10/2020,intermediate,1
43-6441451,16/08/2020,motivating,2
66-4610541,13/05/2020,groupware,2
66-8423153,24/01/2021,methodology,1
64-0047996,20/12/2020,Total,2
25-2351980,02/10/2020,Sharable,1
90-3100382,09/12/2020,Implemented,2
26-2517472,03/01/2021,core,2
72-8634867,24/02/2021,Open-architected,2
60-9154288,10/12/2020,portal,1
44-5053103,03/10/2020,system engine,2
78-9096029,04/07/2020,Function-based,1
00-3212026,10/05/2020,secured line,2
67-4293511,24/02/2021,Devolved,2
84-7636557,06/09/2020,Cloned,2
27-7188912,08/04/2021,toolset,2
02-5702207,04/06/2020,Mandatory,1
95-1435866,26/11/2020,Diverse,1
97-4748384,16/03/2021,Cross-platform,2
49-0564473,25/11/2020,emulation,2
64-6032446,22/05/2020,Fundamental,1
02-6195891,04/04/2021,logistical,2
63-7029879,24/12/2020,User-centric,1
04-0280314,25/02/2021,analyzing,2
22-6594361,19/12/2020,Ameliorated,1
75-2529704,25/07/2020,demand-driven,1
52-5035807,05/05/2020,strategy,1
28-4168642,03/08/2020,zero defect,2
65-5475912,22/10/2020,dedicated,1
63-4555020,10/01/2021,systematic,1
92-2030949,14/08/2020,attitude-oriented,1
03-9501040,16/04/2020,internet solution,1
66-0095601,25/07/2020,Horizontal,2
03-6056863,22/04/2020,architecture,1
52-8551053,17/01/2021,ability,1
23-2964503,06/08/2020,Universal,1
85-2703161,31/05/2020,Realigned,1
45-9910091,04/08/2020,groupware,2
31-8634921,06/05/2020,Intuitive,1
58-1787163,12/06/2020,Open-source,1
63-6372886,16/12/2020,model,1
86-7658428,30/01/2021,value-added,2
40-5544535,25/07/2020,Decentralized,1
26-2731036,13/08/2020,multimedia,2
64-0433468,24/08/2020,Extended,2
18-2743800,14/02/2021,circuit,1
46-1647220,19/12/2020,value-added,2
30-3829863,17/11/2020,Distributed,2
78-5752299,26/09/2020,Grass-roots,1
78-0888228,17/06/2020,Up-sized,2
71-2866169,20/03/2021,installation,2
85-9081575,23/12/2020,Organized,2
02-7327828,27/11/2020,contingency,2
21-8792046,26/10/2020,human-resource,1
13-5841539,24/09/2020,transitional,2
10-7358915,27/08/2020,groupware,1
52-4629828,04/09/2020,Front-line,1
71-3914223,15/02/2021,Universal,2
64-3943036,01/04/2021,product,2
46-7061809,14/11/2020,structure,2
60-6328794,20/03/2021,Fundamental,1
14-2529106,05/02/2021,Compatible,2
48-0109157,11/05/2020,didactic,1
97-7728185,16/11/2020,uniform,1
35-0223258,02/01/2021,zero administration,2
33-2623372,28/10/2020,Re-contextualized,1
19-5954657,29/04/2020,Open-architected,2
01-1366500,10/05/2020,content-based,1
71-6825551,29/10/2020,eco-centric,1
28-0952726,17/07/2020,4th generation,2
17-5641817,24/10/2020,artificial intelligence,2
20-6358019,07/12/2020,model,1
73-2294908,07/02/2021,leverage,2
41-5460027,12/07/2020,hardware,2
64-2623287,12/05/2020,synergy,2
91-6810282,26/06/2020,data-warehouse,1
96-6551499,02/03/2021,Future-proofed,1
37-4722796,24/07/2020,Compatible,2
44-2446466,17/05/2020,success,1
71-7149253,06/08/2020,projection,1
89-3135017,21/05/2020,coherent,2
86-1314600,13/10/2020,Optimized,1
59-1136330,08/10/2020,matrix,1
73-2738033,13/04/2021,tangible,1
41-4018653,15/02/2021,Grass-roots,2
03-1565827,24/01/2021,knowledge base,2
90-9815276,26/05/2020,Automated,1
30-9603707,21/06/2020,moratorium,1
96-4928206,07/02/2021,array,2
29-6712738,29/01/2021,portal,2
53-9839160,10/01/2021,system-worthy,1
73-2480407,23/01/2021,local area network,2
56-9135601,24/03/2021,hierarchy,2
57-9996868,26/10/2020,directional,1
49-3936283,28/11/2020,dynamic,1
67-9023988,20/03/2021,clear-thinking,1
47-0687443,26/08/2020,bandwidth-monitored,2
33-3797544,06/12/2020,budgetary management,1
19-2043855,16/08/2020,interactive,2
38-5997083,13/10/2020,extranet,2
81-1844403,11/10/2020,Networked,1
56-4151645,10/03/2021,disintermediate,2
69-7152412,30/12/2020,Re-contextualized,2
61-0369520,18/05/2020,Devolved,2
46-8161945,30/08/2020,product,2
56-6902345,27/08/2020,Fully-configurable,1
25-6656280,12/05/2020,Multi-layered,1
80-6746000,22/05/2020,Enterprise-wide,2
50-0463792,12/09/2020,open system,1
97-4444187,10/07/2020,static,2
85-2670641,26/07/2020,De-engineered,2
09-0255126,12/03/2021,challenge,1
58-2968251,20/12/2020,strategy,1
64-5545810,18/03/2021,Future-proofed,1
40-7612189,27/10/2020,Programmable,2
40-0852020,20/04/2020,strategy,1
94-1840554,21/11/2020,incremental,1
37-8657402,19/08/2020,explicit,2
92-6484630,14/09/2020,explicit,1
72-1453391,17/07/2020,encompassing,1
01-6710045,20/01/2021,Progressive,2
66-0788207,18/07/2020,human-resource,1
51-9547701,14/04/2020,paradigm,2
60-5220956,27/06/2020,Upgradable,2
24-3885647,15/11/2020,superstructure,2
55-4390678,23/12/2020,secondary,2
16-1474052,14/06/2020,regional,2
52-3369569,11/03/2021,Triple-buffered,2
22-8296905,18/02/2021,help-desk,2
45-4434239,22/07/2020,standardization,2
78-4684166,10/12/2020,collaboration,1
28-7163385,15/04/2020,dynamic,1
83-8689260,08/04/2021,database,1
63-0845267,08/07/2020,Distributed,2
16-3401909,10/04/2021,intermediate,1
31-2430721,07/10/2020,complexity,1
38-2117224,25/02/2021,tangible,1
59-3762160,26/12/2020,hardware,1
06-2001444,15/12/2020,Function-based,1
24-1628948,31/10/2020,Managed,2
53-2139293,10/03/2021,Optional,1
00-4444998,31/01/2021,Persistent,2
67-9054639,20/06/2020,Open-source,2
98-6334490,21/05/2020,directional,2
87-9853207,09/05/2020,clear-thinking,1
72-9853098,27/06/2020,neutral,2
81-2750934,01/12/2020,content-based,2
95-0985106,26/10/2020,analyzer,2
45-0662058,01/04/2021,multi-state,2
70-2952576,08/12/2020,Digitized,1
62-7111729,16/08/2020,next generation,1
39-5473516,26/12/2020,Upgradable,1
03-7562595,01/07/2020,project,2
18-2652109,07/10/2020,productivity,1
19-1920674,30/11/2020,Reduced,2
52-2904764,12/03/2021,exuding,1
02-9936749,15/03/2021,Intuitive,1
38-7786224,13/01/2021,Operative,1
88-9416980,23/04/2020,Future-proofed,1
85-9635080,08/12/2020,Business-focused,2
49-8832559,24/05/2020,internet solution,1
42-8780919,30/09/2020,human-resource,1
50-3053084,13/04/2021,intermediate,2
24-3876901,23/07/2020,Total,2
58-2226412,24/10/2020,Quality-focused,2
96-0009121,29/08/2020,matrices,2
99-6674827,10/07/2020,Customizable,1
05-2550174,10/08/2020,Synergistic,2
72-5355880,08/07/2020,Networked,1
53-4201452,27/06/2020,firmware,2
24-9487777,26/04/2020,systematic,2
89-9446215,03/12/2020,capacity,1
92-0490936,23/10/2020,open system,2
34-2056998,30/10/2020,Optimized,2
51-7457530,27/08/2020,zero administration,2
04-3744502,09/10/2020,global,1
65-2440494,20/09/2020,moderator,2
54-0073018,15/01/2021,explicit,2
67-0696411,27/12/2020,toolset,2
93-2567253,07/08/2020,Synergistic,2
68-6650179,20/03/2021,Enhanced,1
06-4066351,07/12/2020,strategy,2
02-3366716,04/11/2020,uniform,2
38-8971951,21/03/2021,Digitized,1
79-1267207,11/11/2020,object-oriented,2
24-6620399,18/06/2020,forecast,2
86-9646257,10/04/2021,matrices,2
19-1297517,03/04/2021,archive,2
23-5847386,01/05/2020,Automated,1
01-2989974,16/09/2020,Monitored,2
71-0501438,19/03/2021,Organic,1
39-3032782,16/09/2020,monitoring,2
12-1034006,09/03/2021,Optional,2
87-2517899,21/11/2020,client-server,1
03-5373396,31/03/2021,local area network,1
37-6238251,19/07/2020,Compatible,2
52-5339843,31/01/2021,Secured,1
78-7184747,18/07/2020,Organic,2
60-9327038,18/02/2021,client-driven,2
70-7293299,02/08/2020,mobile,1
87-5011525,15/08/2020,didactic,2
92-8650904,12/01/2021,systematic,2
48-7531019,05/12/2020,Quality-focused,2
46-7085204,13/12/2020,application,2
36-7789281,08/01/2021,multi-state,2
64-0726432,24/02/2021,Graphic Interface,1
83-4459264,25/09/2020,solution,1
86-0000975,21/09/2020,Stand-alone,1
60-8256466,07/10/2020,system-worthy,1
87-6795279,24/10/2020,Switchable,2
76-5483955,14/01/2021,portal,2
70-9318525,09/06/2020,grid-enabled,1
51-6765430,24/12/2020,orchestration,1
73-5985929,14/06/2020,Devolved,1
02-7547008,18/12/2020,holistic,2
16-5519832,20/08/2020,multimedia,1
30-3823572,12/05/2020,Face to face,1
12-4507214,21/05/2020,grid-enabled,1
13-4999543,21/05/2020,Face to face,1
77-3094857,30/01/2021,hybrid,2
31-0276240,16/04/2020,Reactive,2
41-2437386,20/05/2020,Synchronised,2
00-0369018,28/10/2020,4th generation,2
54-3021470,11/08/2020,success,1
03-2593346,12/03/2021,discrete,1
80-2056856,23/02/2021,Cross-platform,2
25-3775913,02/01/2021,Proactive,1
63-8754770,22/05/2020,support,1
73-3464835,08/10/2020,executive,2
36-9720918,16/03/2021,dynamic,1
88-5591475,03/11/2020,Synergistic,1
15-3534648,07/11/2020,User-centric,1
80-0807434,14/07/2020,attitude,1
28-2617844,14/08/2020,user-facing,1
15-0674392,13/06/2020,Integrated,2
08-1130370,04/01/2021,Implemented,2
40-0280302,31/07/2020,Persevering,1
73-8249471,29/12/2020,value-added,2
32-8823648,17/02/2021,client-driven,2
96-4093972,15/02/2021,upward-trending,2
37-7985372,20/04/2020,contextually-based,1
07-5082999,14/01/2021,mobile,1
